location_id,year,age_group_id,sex_id,mean
80,1970,153,1,5.53
80,1970,153,2,4.73
80,1970,154,1,5.06
80,1970,154,2,4.17
25,1970,149,1,7.64
25,1970,149,2,6.85
25,1970,150,1,6.8
25,1970,150,2,5.52
25,1970,151,1,7.03
25,1970,151,2,5.04
25,1970,152,1,6.85
25,1970,152,2,4.29
25,1970,153,1,5.78
25,1970,153,2,3.67
25,1970,154,1,4.47
25,1970,154,2,3.16
1,1970,149,1,5.59
1,1970,149,2,4.76
1,1970,150,1,5.65
1,1970,150,2,4.46
1,1970,151,1,5.24
1,1970,151,2,4.06
1,1970,152,1,4.65
1,1970,152,2,3.63
1,1970,153,1,4.24
1,1970,153,2,3.25
1,1970,154,1,3.86
1,1970,154,2,3.02
173,1970,149,1,4.9
173,1970,149,2,4.46
173,1970,150,1,4.9
173,1970,150,2,4.35
173,1970,151,1,3.9
173,1970,151,2,3.48
173,1970,152,1,2.27
173,1970,152,2,2.03
173,1970,153,1,1.07
173,1970,153,2,0.86
173,1970,154,1,0.51
173,1970,154,2,0.32
95,1970,149,1,8.25
95,1970,149,2,7.71
95,1970,150,1,8.64
95,1970,150,2,7.83
95,1970,151,1,8.18
95,1970,151,2,7.28
95,1970,152,1,7.92
95,1970,152,2,6.88
95,1970,153,1,7.52
95,1970,153,2,6.42
95,1970,154,1,7.13
95,1970,154,2,6.01
35,1970,149,1,7.02
35,1970,149,2,6.52
35,1970,150,1,8
35,1970,150,2,7.5
35,1970,151,1,7.97
35,1970,151,2,7.23
35,1970,152,1,7.42
35,1970,152,2,6.46
35,1970,153,1,6.65
35,1970,153,2,5.56
35,1970,154,1,5.45
35,1970,154,2,4.01
207,1970,149,1,3.71
207,1970,149,2,3.22
207,1970,150,1,3.92
207,1970,150,2,2.35
207,1970,151,1,3.7
207,1970,151,2,1.75
207,1970,152,1,3.31
207,1970,152,2,1.23
207,1970,153,1,2.41
207,1970,153,2,0.7
207,1970,154,1,1.31
207,1970,154,2,0.35
208,1970,149,1,1.98
208,1970,149,2,0.77
208,1970,150,1,1.67
208,1970,150,2,0.47
208,1970,151,1,1.17
208,1970,151,2,0.26
208,1970,152,1,0.72
208,1970,152,2,0.11
208,1970,153,1,0.36
208,1970,153,2,0.05
208,1970,154,1,0.16
208,1970,154,2,0.02
206,1970,149,1,2.62
206,1970,149,2,1.41
206,1970,150,1,2.33
206,1970,150,2,0.84
206,1970,151,1,1.68
206,1970,151,2,0.51
206,1970,152,1,1.04
206,1970,152,2,0.3
206,1970,153,1,0.6
206,1970,153,2,0.19
206,1970,154,1,0.38
206,1970,154,2,0.15
209,1970,149,1,1.56
209,1970,149,2,0.75
209,1970,150,1,1.59
209,1970,150,2,0.51
209,1970,151,1,1.3
209,1970,151,2,0.29
209,1970,152,1,0.83
209,1970,152,2,0.14
209,1970,153,1,0.41
209,1970,153,2,0.06
209,1970,154,1,0.21
209,1970,154,2,0.04
172,1970,149,1,3.39
172,1970,149,2,2.47
172,1970,150,1,4.24
172,1970,150,2,2.22
172,1970,151,1,4.09
172,1970,151,2,1.72
172,1970,152,1,3.54
172,1970,152,2,1.03
172,1970,153,1,2.33
172,1970,153,2,0.51
172,1970,154,1,1.48
172,1970,154,2,0.23
82,1970,149,1,7.14
82,1970,149,2,6.84
82,1970,150,1,7.14
82,1970,150,2,6.35
82,1970,151,1,6.4
82,1970,151,2,5.21
82,1970,152,1,5.57
82,1970,152,2,4.02
82,1970,153,1,4.75
82,1970,153,2,3.04
82,1970,154,1,4.06
82,1970,154,2,2.34
112,1970,149,1,5.29
112,1970,149,2,5.47
112,1970,150,1,4.61
112,1970,150,2,4.33
112,1970,151,1,3.95
112,1970,151,2,3.34
112,1970,152,1,3.36
112,1970,152,2,2.56
112,1970,153,1,2.84
112,1970,153,2,1.93
112,1970,154,1,2.38
112,1970,154,2,1.44
128,1970,149,1,3.17
128,1970,149,2,2.43
128,1970,150,1,2.98
128,1970,150,2,2.01
128,1970,151,1,2.46
128,1970,151,2,1.59
128,1970,152,1,1.96
128,1970,152,2,1.2
128,1970,153,1,1.39
128,1970,153,2,0.89
128,1970,154,1,1.09
128,1970,154,2,0.76
113,1970,149,1,4.95
113,1970,149,2,5.66
113,1970,150,1,4.69
113,1970,150,2,4.55
113,1970,151,1,4.43
113,1970,151,2,3.85
113,1970,152,1,4.29
113,1970,152,2,3.35
113,1970,153,1,3.86
113,1970,153,2,2.88
113,1970,154,1,3.4
113,1970,154,2,2.36
129,1970,149,1,3.19
129,1970,149,2,3.2
129,1970,150,1,2.88
129,1970,150,2,2.65
129,1970,151,1,2.47
129,1970,151,2,2.06
129,1970,152,1,2.23
129,1970,152,2,1.66
129,1970,153,1,1.81
129,1970,153,2,1.37
129,1970,154,1,1.46
129,1970,154,2,1.06
46,1970,149,1,5.12
46,1970,149,2,4.73
46,1970,150,1,6.3
46,1970,150,2,5.77
46,1970,151,1,6.19
46,1970,151,2,5.05
46,1970,152,1,5.58
46,1970,152,2,3.99
46,1970,153,1,4.95
46,1970,153,2,3.01
46,1970,154,1,3.9
46,1970,154,2,2.09
114,1970,149,1,3.07
114,1970,149,2,2.39
114,1970,150,1,2.93
114,1970,150,2,1.73
114,1970,151,1,2.05
114,1970,151,2,1.1
114,1970,152,1,1.54
114,1970,152,2,0.82
114,1970,153,1,1.23
114,1970,153,2,0.6
114,1970,154,1,0.97
114,1970,154,2,0.45
48,1970,149,1,7.92
48,1970,149,2,8.02
48,1970,150,1,8.25
48,1970,150,2,7.86
48,1970,151,1,7.86
48,1970,151,2,7.21
48,1970,152,1,7.13
48,1970,152,2,6.34
48,1970,153,1,6.5
48,1970,153,2,5.65
48,1970,154,1,5.83
48,1970,154,2,4.9
11,1970,149,1,4.76
11,1970,149,2,3.67
11,1970,150,1,4.39
11,1970,150,2,2.89
11,1970,151,1,3.58
11,1970,151,2,2.09
11,1970,152,1,2.89
11,1970,152,2,1.5
11,1970,153,1,2.17
11,1970,153,2,0.97
11,1970,154,1,1.49
11,1970,154,2,0.63
163,1970,149,1,3.65
163,1970,149,2,1.88
163,1970,150,1,3.19
163,1970,150,2,1.3
163,1970,151,1,2.59
163,1970,151,2,0.91
163,1970,152,1,2.14
163,1970,152,2,0.58
163,1970,153,1,1.69
163,1970,153,2,0.39
163,1970,154,1,1.24
163,1970,154,2,0.21
84,1970,149,1,7.38
84,1970,149,2,7.36
84,1970,150,1,7.33
84,1970,150,2,7.08
84,1970,151,1,6.65
84,1970,151,2,6.28
84,1970,152,1,5.92
84,1970,152,2,5.58
84,1970,153,1,5.23
84,1970,153,2,4.9
84,1970,154,1,4.56
84,1970,154,2,4.18
142,1970,149,1,4.23
142,1970,149,2,2.88
142,1970,150,1,3.3
142,1970,150,2,1.67
142,1970,151,1,2.43
142,1970,151,2,0.99
142,1970,152,1,1.52
142,1970,152,2,0.44
142,1970,153,1,0.83
142,1970,153,2,0.18
142,1970,154,1,0.46
142,1970,154,2,0.09
143,1970,149,1,3.47
143,1970,149,2,2.29
143,1970,150,1,3.28
143,1970,150,2,1.55
143,1970,151,1,2.84
143,1970,151,2,1.02
143,1970,152,1,1.96
143,1970,152,2,0.51
143,1970,153,1,1.22
143,1970,153,2,0.24
143,1970,154,1,0.52
143,1970,154,2,0.09
83,1970,149,1,5.96
83,1970,149,2,5.45
83,1970,150,1,7.94
83,1970,150,2,7.68
